n,k,seed,num_edges,mu,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,timestamp
80,2,22,161,0.05,gurobi,0.08068609237670898,True,False,0.4224952741020797,True,,lfr,2026-03-11T21:23:01.975024
80,2,22,161,0.05,bnb_c,0.009188175201416016,True,False,0.422495274102079,True,,lfr,2026-03-11T21:23:02.089445
80,2,23,156,0.05,gurobi,0.03448605537414551,True,False,0.41313280736358227,True,,lfr,2026-03-11T21:23:02.225846
80,2,23,156,0.05,bnb_c,0.007339000701904297,True,False,0.413132807363577,True,,lfr,2026-03-11T21:23:02.330942
80,2,24,157,0.05,gurobi,0.04239916801452637,True,False,0.461398028317585,True,,lfr,2026-03-11T21:23:02.485641
80,2,24,157,0.05,bnb_c,0.0073430538177490234,True,False,0.461398028317579,True,,lfr,2026-03-11T21:23:02.592604
80,2,25,173,0.05,gurobi,0.031239032745361328,True,False,0.471031441077217,True,,lfr,2026-03-11T21:23:02.736307
80,2,25,173,0.05,bnb_c,0.008036136627197266,True,False,0.471031441077216,True,,lfr,2026-03-11T21:23:02.845097
80,2,26,150,0.05,gurobi,0.03358793258666992,True,False,0.4483333333333285,True,,lfr,2026-03-11T21:23:02.987075
80,2,26,150,0.05,bnb_c,0.0076520442962646484,True,False,0.448333333333333,True,,lfr,2026-03-11T21:23:03.092206
80,2,27,165,0.05,gurobi,0.032562971115112305,True,False,0.4290174471992657,True,,lfr,2026-03-11T21:23:03.233380
80,2,27,165,0.05,bnb_c,0.007982015609741211,True,False,0.429017447199265,True,,lfr,2026-03-11T21:23:03.338239
80,2,28,152,0.05,gurobi,0.04678916931152344,True,False,0.4552458448753499,True,,lfr,2026-03-11T21:23:03.492158
80,2,28,152,0.05,bnb_c,0.007508039474487305,True,False,0.455245844875346,True,,lfr,2026-03-11T21:23:03.599150
80,2,29,161,0.05,gurobi,0.06424665451049805,True,False,0.4489410130781998,True,,lfr,2026-03-11T21:23:03.767863
80,2,29,161,0.05,bnb_c,0.008455991744995117,True,False,0.448941013078199,True,,lfr,2026-03-11T21:23:03.876622
80,2,30,142,0.05,gurobi,0.11778092384338379,True,False,0.4270730013886134,True,,lfr,2026-03-11T21:23:04.106620
80,2,30,142,0.05,bnb_c,0.010130882263183594,True,False,0.427073001388613,True,,lfr,2026-03-11T21:23:04.219448
80,2,31,142,0.05,gurobi,0.03905320167541504,True,False,0.4584407855584245,True,,lfr,2026-03-11T21:23:04.357053
80,2,31,142,0.05,bnb_c,0.007276773452758789,True,False,0.458440785558421,True,,lfr,2026-03-11T21:23:04.460837
80,2,32,153,0.05,gurobi,0.05383419990539551,True,False,0.4343628518945688,True,,lfr,2026-03-11T21:23:04.620740
80,2,32,153,0.05,bnb_c,0.007380962371826172,True,False,0.434362851894571,True,,lfr,2026-03-11T21:23:04.722029
80,2,33,159,0.05,gurobi,0.03661012649536133,True,False,0.4598710494046856,True,,lfr,2026-03-11T21:23:04.864260
80,2,33,159,0.05,bnb_c,0.007196187973022461,True,False,0.459871049404691,True,,lfr,2026-03-11T21:23:04.965014
80,2,34,164,0.05,gurobi,0.036853790283203125,True,False,0.436923706127309,True,,lfr,2026-03-11T21:23:05.104549
80,2,34,164,0.05,bnb_c,0.007450103759765625,True,False,0.436923706127305,True,,lfr,2026-03-11T21:23:05.207472
80,2,35,150,0.05,gurobi,0.17127084732055664,True,False,0.43457777777777445,True,,lfr,2026-03-11T21:23:05.484657
80,2,35,150,0.05,bnb_c,0.008998870849609375,True,False,0.434577777777778,True,,lfr,2026-03-11T21:23:05.596138
80,2,36,166,0.05,gurobi,0.0388638973236084,True,False,0.4184751052402359,True,,lfr,2026-03-11T21:23:05.735377
80,2,36,166,0.05,bnb_c,0.007441043853759766,True,False,0.418475105240238,True,,lfr,2026-03-11T21:23:05.840639
80,2,37,144,0.05,gurobi,0.17453384399414062,True,False,0.3851996527777765,True,,lfr,2026-03-11T21:23:06.123826
80,2,37,144,0.05,bnb_c,0.010490894317626953,True,False,0.385199652777778,True,,lfr,2026-03-11T21:23:06.233031
80,2,38,165,0.05,gurobi,0.03917193412780762,True,False,0.44969696969697187,True,,lfr,2026-03-11T21:23:06.370098
80,2,38,165,0.05,bnb_c,0.007390260696411133,True,False,0.44969696969697,True,,lfr,2026-03-11T21:23:06.477095
80,2,39,148,0.05,gurobi,0.03614997863769531,True,False,0.45797571219868205,True,,lfr,2026-03-11T21:23:06.615773
80,2,39,148,0.05,bnb_c,0.010502815246582031,True,False,0.457975712198685,True,,lfr,2026-03-11T21:23:06.721602
80,2,40,129,0.05,gurobi,0.04863691329956055,True,False,0.45336818700799686,True,,lfr,2026-03-11T21:23:06.874239
80,2,40,129,0.05,bnb_c,0.008271932601928711,True,False,0.453368187007992,True,,lfr,2026-03-11T21:23:06.976829
80,2,41,150,0.05,gurobi,0.0415499210357666,True,False,0.4349111111111073,True,,lfr,2026-03-11T21:23:07.131048
80,2,41,150,0.05,bnb_c,0.007318019866943359,True,False,0.434911111111111,True,,lfr,2026-03-11T21:23:07.231035
80,2,42,150,0.05,gurobi,0.035822153091430664,True,False,0.4397999999999954,True,,lfr,2026-03-11T21:23:07.370215
80,2,42,150,0.05,bnb_c,0.007288932800292969,True,False,0.4398,True,,lfr,2026-03-11T21:23:07.474023
80,2,43,140,0.05,gurobi,0.0329279899597168,True,False,0.45928571428571885,True,,lfr,2026-03-11T21:23:07.615743
80,2,43,140,0.05,bnb_c,0.007116794586181641,True,False,0.459285714285714,True,,lfr,2026-03-11T21:23:07.716872
80,2,44,155,0.05,gurobi,120,False,True,,,timeout,lfr,2026-03-11T21:25:07.753332
80,2,44,155,0.05,bnb_c,0.011242151260375977,True,False,0.441290322580645,True,,lfr,2026-03-11T21:25:07.961616
80,2,45,165,0.05,gurobi,0.03784990310668945,True,False,0.4473829201101934,True,,lfr,2026-03-11T21:25:08.113204
80,2,45,165,0.05,bnb_c,0.007359981536865234,True,False,0.447382920110193,True,,lfr,2026-03-11T21:25:08.227847
80,2,46,157,0.05,gurobi,0.039505958557128906,True,False,0.44372996876141374,True,,lfr,2026-03-11T21:25:08.382646
80,2,46,157,0.05,bnb_c,0.007455110549926758,True,False,0.44372996876141,True,,lfr,2026-03-11T21:25:08.495276
80,2,47,161,0.05,gurobi,0.0539851188659668,True,False,0.43389529724933573,True,,lfr,2026-03-11T21:25:08.664458
80,2,47,161,0.05,bnb_c,0.007427692413330078,True,False,0.433895297249335,True,,lfr,2026-03-11T21:25:08.774473
80,2,48,158,0.05,gurobi,0.04680609703063965,True,False,0.4305199487261649,True,,lfr,2026-03-11T21:25:08.937175
80,2,48,158,0.05,bnb_c,0.007718324661254883,True,False,0.430519948726166,True,,lfr,2026-03-11T21:25:09.047926
80,2,49,152,0.05,gurobi,0.05223488807678223,True,False,0.4456371191135764,True,,lfr,2026-03-11T21:25:09.210145
80,2,49,152,0.05,bnb_c,0.007938861846923828,True,False,0.445637119113573,True,,lfr,2026-03-11T21:25:09.321284
80,2,0,140,0.1,gurobi,0.13381409645080566,True,False,0.4197959183673511,True,,lfr,2026-03-11T21:25:09.569701
80,2,0,140,0.1,bnb_c,0.01439523696899414,True,False,0.419795918367347,True,,lfr,2026-03-11T21:25:09.691703
80,2,1,156,0.1,gurobi,0.0817420482635498,True,False,0.4114069690992827,True,,lfr,2026-03-11T21:25:09.890041
80,2,1,156,0.1,bnb_c,0.008552074432373047,True,False,0.411406969099277,True,,lfr,2026-03-11T21:25:10.011824
80,2,2,169,0.1,gurobi,0.04427504539489746,True,False,0.4226742761107789,True,,lfr,2026-03-11T21:25:10.170544
80,2,2,169,0.1,bnb_c,0.00890493392944336,True,False,0.422674276110781,True,,lfr,2026-03-11T21:25:10.287655
80,2,3,163,0.1,gurobi,0.10083293914794922,True,False,0.3778087244533084,True,,lfr,2026-03-11T21:25:10.499442
80,2,3,163,0.1,bnb_c,0.01207113265991211,True,False,0.37780872445331,True,,lfr,2026-03-11T21:25:10.623512
80,2,4,155,0.1,gurobi,0.045011043548583984,True,False,0.40915712799167214,True,,lfr,2026-03-11T21:25:10.779044
80,2,4,155,0.1,bnb_c,0.009305000305175781,True,False,0.409157127991675,True,,lfr,2026-03-11T21:25:10.893810
80,2,5,143,0.1,gurobi,0.508432149887085,True,False,0.3925864345444772,True,,lfr,2026-03-11T21:25:11.518669
80,2,5,143,0.1,bnb_c,0.01840496063232422,True,False,0.392586434544476,True,,lfr,2026-03-11T21:25:11.640721
80,2,6,171,0.1,gurobi,0.07631301879882812,True,False,0.39138538353681324,True,,lfr,2026-03-11T21:25:11.833151
80,2,6,171,0.1,bnb_c,0.01006007194519043,True,False,0.391385383536815,True,,lfr,2026-03-11T21:25:11.945509
80,2,7,151,0.1,gurobi,0.03457522392272949,True,False,0.4306170781983272,True,,lfr,2026-03-11T21:25:12.098080
80,2,7,151,0.1,bnb_c,0.008251190185546875,True,False,0.430617078198325,True,,lfr,2026-03-11T21:25:12.216560
80,2,8,145,0.1,gurobi,0.037567853927612305,True,False,0.38879904875147997,True,,lfr,2026-03-11T21:25:12.368018
80,2,8,145,0.1,bnb_c,0.00894021987915039,True,False,0.388799048751486,True,,lfr,2026-03-11T21:25:12.486142
80,2,9,152,0.1,gurobi,0.03914022445678711,True,False,0.4324575831024947,True,,lfr,2026-03-11T21:25:12.636110
80,2,9,152,0.1,bnb_c,0.009025812149047852,True,False,0.432457583102493,True,,lfr,2026-03-11T21:25:12.754099
80,2,10,142,0.1,gurobi,0.14446091651916504,True,False,0.40745883753224155,True,,lfr,2026-03-11T21:25:13.016412
80,2,10,142,0.1,bnb_c,0.011143922805786133,True,False,0.407458837532236,True,,lfr,2026-03-11T21:25:13.136153
80,2,11,168,0.1,gurobi,0.08567690849304199,True,False,0.3849206349206339,True,,lfr,2026-03-11T21:25:13.336520
80,2,11,168,0.1,bnb_c,0.00981903076171875,True,False,0.384920634920635,True,,lfr,2026-03-11T21:25:13.450979
80,2,12,163,0.1,gurobi,0.22200393676757812,True,False,0.41324475892957746,True,,lfr,2026-03-11T21:25:13.794225
80,2,12,163,0.1,bnb_c,0.010675191879272461,True,False,0.41324475892958,True,,lfr,2026-03-11T21:25:13.908020
80,2,13,165,0.1,gurobi,0.06597089767456055,True,False,0.41761248852157706,True,,lfr,2026-03-11T21:25:14.091511
80,2,13,165,0.1,bnb_c,0.008533954620361328,True,False,0.417612488521579,True,,lfr,2026-03-11T21:25:14.202452
80,2,14,157,0.1,gurobi,0.10201001167297363,True,False,0.39076635969005036,True,,lfr,2026-03-11T21:25:14.428495
80,2,14,157,0.1,bnb_c,0.016915082931518555,True,False,0.390766359690048,True,,lfr,2026-03-11T21:25:14.550967
80,2,15,160,0.1,gurobi,0.19249701499938965,True,False,0.38748046874999736,True,,lfr,2026-03-11T21:25:14.865094
80,2,15,160,0.1,bnb_c,0.016985177993774414,True,False,0.38748046875,True,,lfr,2026-03-11T21:25:14.983584
80,2,16,153,0.1,gurobi,0.057073354721069336,True,False,0.4408987996069847,True,,lfr,2026-03-11T21:25:15.151989
80,2,16,153,0.1,bnb_c,0.009023904800415039,True,False,0.440898799606989,True,,lfr,2026-03-11T21:25:15.264008
80,2,17,154,0.1,gurobi,0.18569111824035645,True,False,0.3932998819362386,True,,lfr,2026-03-11T21:25:15.564488
80,2,17,154,0.1,bnb_c,0.011974096298217773,True,False,0.393299881936246,True,,lfr,2026-03-11T21:25:15.688457
80,2,18,142,0.1,gurobi,0.05504202842712402,True,False,0.3978377306090085,True,,lfr,2026-03-11T21:25:15.859191
80,2,18,142,0.1,bnb_c,0.009089946746826172,True,False,0.397837730609006,True,,lfr,2026-03-11T21:25:15.971618
80,2,19,146,0.1,gurobi,0.13593697547912598,True,False,0.4262291236629806,True,,lfr,2026-03-11T21:25:16.219635
80,2,19,146,0.1,bnb_c,0.012553930282592773,True,False,0.426229123662976,True,,lfr,2026-03-11T21:25:16.340048
80,2,20,144,0.1,gurobi,0.16975831985473633,True,False,0.4129774305555526,True,,lfr,2026-03-11T21:25:16.626860
80,2,20,144,0.1,bnb_c,0.021239042282104492,True,False,0.412977430555555,True,,lfr,2026-03-11T21:25:16.754161
80,2,21,167,0.1,gurobi,0.05505108833312988,True,False,0.40496253002976,True,,lfr,2026-03-11T21:25:16.926048
80,2,21,167,0.1,bnb_c,0.010082006454467773,True,False,0.404962530029761,True,,lfr,2026-03-11T21:25:17.039282
80,2,22,159,0.1,gurobi,0.17058420181274414,True,False,0.3916973220995957,True,,lfr,2026-03-11T21:25:17.323468
80,2,22,159,0.1,bnb_c,0.014609098434448242,True,False,0.391697322099601,True,,lfr,2026-03-11T21:25:17.451659
80,2,23,150,0.1,gurobi,0.1479029655456543,True,False,0.35564444444444154,True,,lfr,2026-03-11T21:25:17.709981
80,2,23,150,0.1,bnb_c,0.01762080192565918,True,False,0.355644444444444,True,,lfr,2026-03-11T21:25:17.838634
80,2,24,158,0.1,gurobi,0.07015490531921387,True,False,0.39352667841691974,True,,lfr,2026-03-11T21:25:18.024909
80,2,24,158,0.1,bnb_c,0.009784698486328125,True,False,0.39352667841692,True,,lfr,2026-03-11T21:25:18.137012
80,2,25,174,0.1,gurobi,0.06253695487976074,True,False,0.39655172413792955,True,,lfr,2026-03-11T21:25:18.311272
80,2,25,174,0.1,bnb_c,0.010326147079467773,True,False,0.396551724137931,True,,lfr,2026-03-11T21:25:18.424898
80,2,26,149,0.1,gurobi,0.2768521308898926,True,False,0.39426151975136375,True,,lfr,2026-03-11T21:25:18.814621
80,2,26,149,0.1,bnb_c,0.011972188949584961,True,False,0.394261519751363,True,,lfr,2026-03-11T21:25:18.932085
80,2,27,166,0.1,gurobi,0.034945011138916016,True,False,0.41515459428073404,True,,lfr,2026-03-11T21:25:19.077167
80,2,27,166,0.1,bnb_c,0.008319854736328125,True,False,0.415154594280737,True,,lfr,2026-03-11T21:25:19.191529
80,2,28,154,0.1,gurobi,0.10337615013122559,True,False,0.40698262776184385,True,,lfr,2026-03-11T21:25:19.403628
80,2,28,154,0.1,bnb_c,0.012078285217285156,True,False,0.406982627761849,True,,lfr,2026-03-11T21:25:19.520414
80,2,29,161,0.1,gurobi,0.6607010364532471,True,False,0.3870799737664456,True,,lfr,2026-03-11T21:25:20.295927
80,2,29,161,0.1,bnb_c,0.01935100555419922,True,False,0.387079973766444,True,,lfr,2026-03-11T21:25:20.420064
80,2,30,142,0.1,gurobi,0.13310885429382324,True,False,0.41450109105336225,True,,lfr,2026-03-11T21:25:20.667175
80,2,30,142,0.1,bnb_c,0.009462833404541016,True,False,0.414501091053362,True,,lfr,2026-03-11T21:25:20.785033
80,2,31,142,0.1,gurobi,0.04224371910095215,True,False,0.43461118825630146,True,,lfr,2026-03-11T21:25:20.947671
80,2,31,142,0.1,bnb_c,0.008265972137451172,True,False,0.434611188256298,True,,lfr,2026-03-11T21:25:21.066143
80,2,32,152,0.1,gurobi,0.04863786697387695,True,False,0.41516620498615064,True,,lfr,2026-03-11T21:25:21.225766
80,2,32,152,0.1,bnb_c,0.008703947067260742,True,False,0.41516620498615,True,,lfr,2026-03-11T21:25:21.343070
80,2,33,156,0.1,gurobi,0.14949774742126465,True,False,0.3985864562787694,True,,lfr,2026-03-11T21:25:21.602188
80,2,33,156,0.1,bnb_c,0.010660171508789062,True,False,0.398586456278764,True,,lfr,2026-03-11T21:25:21.722227
80,2,34,161,0.1,gurobi,0.048876047134399414,True,False,0.4164769877705362,True,,lfr,2026-03-11T21:25:21.883884
80,2,34,161,0.1,bnb_c,0.009519100189208984,True,False,0.416476987770534,True,,lfr,2026-03-11T21:25:21.998953
80,2,35,149,0.1,gurobi,0.14975523948669434,True,False,0.4052970586910511,True,,lfr,2026-03-11T21:25:22.260153
80,2,35,149,0.1,bnb_c,0.015383005142211914,True,False,0.40529705869105,True,,lfr,2026-03-11T21:25:22.384439
80,2,36,166,0.1,gurobi,0.040181875228881836,True,False,0.4084591377558411,True,,lfr,2026-03-11T21:25:22.533003
80,2,36,166,0.1,bnb_c,0.009250879287719727,True,False,0.408459137755843,True,,lfr,2026-03-11T21:25:22.651218
80,2,37,144,0.1,gurobi,0.13146090507507324,True,False,0.37478298611111016,True,,lfr,2026-03-11T21:25:22.895664
80,2,37,144,0.1,bnb_c,0.011562824249267578,True,False,0.374782986111111,True,,lfr,2026-03-11T21:25:23.017118
80,2,38,163,0.1,gurobi,0.10547399520874023,True,False,0.39448229139222163,True,,lfr,2026-03-11T21:25:23.234922
80,2,38,163,0.1,bnb_c,0.010914087295532227,True,False,0.394482291392224,True,,lfr,2026-03-11T21:25:23.351891
80,2,39,148,0.1,gurobi,0.08362603187561035,True,False,0.39800949598246727,True,,lfr,2026-03-11T21:25:23.552953
80,2,39,148,0.1,bnb_c,0.013443708419799805,True,False,0.398009495982469,True,,lfr,2026-03-11T21:25:23.677496
80,2,40,128,0.1,gurobi,0.03812909126281738,True,False,0.45654296875,True,,lfr,2026-03-11T21:25:23.820168
80,2,40,128,0.1,bnb_c,0.008932113647460938,True,False,0.45654296875,True,,lfr,2026-03-11T21:25:23.935416
80,2,41,152,0.1,gurobi,0.07871198654174805,True,False,0.3860803324099738,True,,lfr,2026-03-11T21:25:24.128222
80,2,41,152,0.1,bnb_c,0.010833978652954102,True,False,0.386080332409972,True,,lfr,2026-03-11T21:25:24.250576
80,2,42,150,0.1,gurobi,0.03467583656311035,True,False,0.39964444444443975,True,,lfr,2026-03-11T21:25:24.397786
80,2,42,150,0.1,bnb_c,0.00794076919555664,True,False,0.399644444444445,True,,lfr,2026-03-11T21:25:24.513225
80,2,43,136,0.1,gurobi,0.040946006774902344,True,False,0.42406466262975573,True,,lfr,2026-03-11T21:25:24.674029
80,2,43,136,0.1,bnb_c,0.009628057479858398,True,False,0.424064662629758,True,,lfr,2026-03-11T21:25:24.791676
80,2,44,159,0.1,gurobi,0.0834650993347168,True,False,0.40558126656381716,True,,lfr,2026-03-11T21:25:24.987635
80,2,44,159,0.1,bnb_c,0.009807825088500977,True,False,0.405581266563823,True,,lfr,2026-03-11T21:25:25.108962
80,2,45,166,0.1,gurobi,0.048120975494384766,True,False,0.4215234431702686,True,,lfr,2026-03-11T21:25:25.265854
