n,actual_n,k,seed,num_edges,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,xi,timestamp
20,20,2,5,26,leiden_c_x100,0.005376100540161133,True,False,0.38387573964497,False,,abcd,0.1,2026-02-07T11:44:55.252370
20,20,2,6,27,gurobi,0.020660877227783203,True,False,0.3923182441700961,True,,abcd,0.1,2026-02-07T11:44:55.726943
20,20,2,6,27,bnb_c_seq,0.006604909896850586,True,False,0.392318244170096,True,,abcd,0.1,2026-02-07T11:44:56.193272
20,20,2,6,27,bnb_c,0.006824970245361328,True,False,0.392318244170096,True,,abcd,0.1,2026-02-07T11:44:56.652482
20,20,2,6,27,bnb_c_pruned,0.0065343379974365234,True,False,0.392318244170096,True,,abcd,0.1,2026-02-07T11:44:57.119564
20,20,2,6,27,pyomo_cplex,0.08152294158935547,True,False,0.3923182441700962,True,,abcd,0.1,2026-02-07T11:44:57.654286
20,20,2,6,27,bnb_py,0.02326679229736328,True,False,0.392318244170096,True,,abcd,0.1,2026-02-07T11:44:58.127041
20,20,2,6,27,leiden_c_x100,0.005138874053955078,True,False,0.314814814814815,False,,abcd,0.1,2026-02-07T11:44:58.583785
20,20,2,7,30,gurobi,0.01646900177001953,True,False,0.4311111111111114,True,,abcd,0.1,2026-02-07T11:44:59.048659
20,20,2,7,30,bnb_c_seq,0.005318164825439453,True,False,0.431111111111111,True,,abcd,0.1,2026-02-07T11:44:59.516100
20,20,2,7,30,bnb_c,0.007386207580566406,True,False,0.431111111111111,True,,abcd,0.1,2026-02-07T11:44:59.971927
20,20,2,7,30,bnb_c_pruned,0.007426023483276367,True,False,0.431111111111111,True,,abcd,0.1,2026-02-07T11:45:00.427580
20,20,2,7,30,pyomo_cplex,0.08783102035522461,True,False,0.43111111111111156,True,,abcd,0.1,2026-02-07T11:45:00.962992
20,20,2,7,30,bnb_py,0.024158954620361328,True,False,0.4311111111111111,True,,abcd,0.1,2026-02-07T11:45:01.436695
20,20,2,7,30,leiden_c_x100,0.00604701042175293,True,False,0.431111111111111,True,,abcd,0.1,2026-02-07T11:45:01.895270
20,20,2,8,25,gurobi,0.018752098083496094,True,False,0.4192000000000003,True,,abcd,0.1,2026-02-07T11:45:02.371034
20,20,2,8,25,bnb_c_seq,0.005542755126953125,True,False,0.4192,True,,abcd,0.1,2026-02-07T11:45:02.842988
20,20,2,8,25,bnb_c,0.006772279739379883,True,False,0.4192,True,,abcd,0.1,2026-02-07T11:45:03.300946
20,20,2,8,25,bnb_c_pruned,0.007832050323486328,True,False,0.4192,True,,abcd,0.1,2026-02-07T11:45:03.760593
20,20,2,8,25,pyomo_cplex,0.08408212661743164,True,False,0.41920000000000035,True,,abcd,0.1,2026-02-07T11:45:04.295437
20,20,2,8,25,bnb_py,0.02625298500061035,True,False,0.4192000000000001,True,,abcd,0.1,2026-02-07T11:45:04.773556
20,20,2,8,25,leiden_c_x100,0.005743980407714844,True,False,0.3,False,,abcd,0.1,2026-02-07T11:45:05.235748
20,12,2,9,15,gurobi,0.009830236434936523,True,False,0.3977777777777778,True,,abcd,0.1,2026-02-07T11:45:05.700040
20,12,2,9,15,bnb_c_seq,0.0053179264068603516,True,False,0.397777777777778,True,,abcd,0.1,2026-02-07T11:45:06.170307
20,12,2,9,15,bnb_c,0.006713151931762695,True,False,0.397777777777778,True,,abcd,0.1,2026-02-07T11:45:06.627675
20,12,2,9,15,bnb_c_pruned,0.006824016571044922,True,False,0.397777777777778,True,,abcd,0.1,2026-02-07T11:45:07.085167
20,12,2,9,15,pyomo_cplex,0.03728318214416504,True,False,0.3977777777777777,True,,abcd,0.1,2026-02-07T11:45:07.573548
20,12,2,9,15,bnb_py,0.009747028350830078,True,False,0.3977777777777778,True,,abcd,0.1,2026-02-07T11:45:08.033376
20,12,2,9,15,leiden_c_x100,0.005124092102050781,True,False,0.397777777777778,True,,abcd,0.1,2026-02-07T11:45:08.493054
20,11,2,10,15,gurobi,0.008398056030273438,True,False,0.21333333333333335,True,,abcd,0.1,2026-02-07T11:45:08.951885
20,11,2,10,15,bnb_c_seq,0.005666971206665039,True,False,0.213333333333333,True,,abcd,0.1,2026-02-07T11:45:09.429271
20,11,2,10,15,bnb_c,0.006706953048706055,True,False,0.213333333333333,True,,abcd,0.1,2026-02-07T11:45:09.886154
20,11,2,10,15,bnb_c_pruned,0.006791830062866211,True,False,0.213333333333333,True,,abcd,0.1,2026-02-07T11:45:10.342859
20,11,2,10,15,pyomo_cplex,0.04701828956604004,True,False,0.21333333333333324,True,,abcd,0.1,2026-02-07T11:45:10.842231
20,11,2,10,15,bnb_py,0.008280754089355469,True,False,0.21333333333333332,True,,abcd,0.1,2026-02-07T11:45:11.300144
20,11,2,10,15,leiden_c_x100,0.005839109420776367,True,False,0.177777777777778,False,,abcd,0.1,2026-02-07T11:45:11.760889
20,20,2,11,23,gurobi,0.017667055130004883,True,False,0.4120982986767487,True,,abcd,0.1,2026-02-07T11:45:12.229005
