n,k,xi,graph_seed,num_edges,iterations,run,time,success,timed_out,modularity,optimal_modularity,error,timestamp,found_optimal,gap
100,2,0.05,0,149,1,0,0.009053230285644531,True,False,0.3950272510247287,0.4326832124679068,,2026-02-04T18:40:27.790124,False,0.03765596144317812
100,2,0.05,1,152,1,1,0.005720853805541992,True,False,0.4078947368421053,0.4374783587257618,,2026-02-04T18:40:28.024017,False,0.029583621883656486
100,2,0.05,2,142,1,2,0.005864858627319336,True,False,0.4506794286847847,0.4506794286847847,,2026-02-04T18:40:28.254082,True,0.0
100,2,0.05,3,141,1,3,0.006176948547363281,True,False,0.45048035813087867,0.47832101000955685,,2026-02-04T18:40:28.483177,False,0.02784065187867818
100,2,0.05,4,154,1,4,0.005877971649169922,True,False,0.42966773486254006,0.4498018215550683,,2026-02-04T18:40:28.715065,False,0.020134086692528252
100,2,0.05,5,158,1,5,0.0055789947509765625,True,False,0.31595497516423643,0.4695561608716552,,2026-02-04T18:40:28.942764,False,0.15360118570741876
100,2,0.05,6,154,1,6,0.0073490142822265625,True,False,0.4412211165457919,0.4602799797604993,,2026-02-04T18:40:29.175326,False,0.0190588632147074
100,2,0.05,7,149,1,7,0.006042957305908203,True,False,0.4815098418990136,0.4815098418990136,,2026-02-04T18:40:29.404601,True,0.0
100,2,0.05,8,154,1,8,0.006566762924194336,True,False,0.33764125484904706,0.4433926463147243,,2026-02-04T18:40:29.633002,False,0.10575139146567725
100,2,0.05,9,147,1,9,0.005827665328979492,True,False,0.4503447637558424,0.4835947984636032,,2026-02-04T18:40:29.863291,False,0.03325003470776078
100,2,0.05,10,148,1,10,0.006460905075073242,True,False,0.46619338933528126,0.46619338933528126,,2026-02-04T18:40:30.092250,True,0.0
100,2,0.05,11,151,1,11,0.006273984909057617,True,False,0.4671724924345423,0.4671724924345423,,2026-02-04T18:40:30.322196,True,0.0
100,2,0.05,12,161,1,12,0.006039857864379883,True,False,0.45067705721229884,0.45067705721229884,,2026-02-04T18:40:30.553174,True,0.0
100,2,0.05,13,155,1,13,0.0068166255950927734,True,False,0.4741727367325702,0.4860770031217482,,2026-02-04T18:40:30.784735,False,0.011904266389177964
100,2,0.05,14,151,1,14,0.00597691535949707,True,False,0.4300688566290953,0.4389939037761501,,2026-02-04T18:40:31.015898,False,0.008925047147054832
100,2,0.05,15,140,1,15,0.005853891372680664,True,False,0.44030612244897954,0.44997448979591836,,2026-02-04T18:40:31.245378,False,0.009668367346938822
100,2,0.05,16,155,1,16,0.006169795989990234,True,False,0.4354630593132154,0.47232049947970856,,2026-02-04T18:40:31.475911,False,0.03685744016649317
100,2,0.05,17,156,1,17,0.005896806716918945,True,False,0.46349030243261014,0.46349030243261014,,2026-02-04T18:40:31.705664,True,0.0
100,2,0.05,18,155,1,18,0.00701594352722168,True,False,0.4407700312174817,0.4552757544224766,,2026-02-04T18:40:31.936194,False,0.01450572320499488
100,2,0.05,19,161,1,19,0.006224155426025391,True,False,0.4498283245245168,0.46664866324601684,,2026-02-04T18:40:32.165574,False,0.016820338721500017
100,2,0.05,20,147,1,20,0.006168842315673828,True,False,0.4387755102040817,0.4586052107917997,,2026-02-04T18:40:32.397880,False,0.019829700587718047
100,2,0.05,21,149,1,21,0.006467103958129883,True,False,0.4261744966442953,0.4570064411512995,,2026-02-04T18:40:32.627252,False,0.030831944507004216
100,2,0.05,22,154,1,22,0.005961418151855469,True,False,0.39610389610389607,0.454524371732164,,2026-02-04T18:40:32.857891,False,0.05842047562826791
100,2,0.05,23,151,1,23,0.006804943084716797,True,False,0.44015613350291655,0.4733125740099118,,2026-02-04T18:40:33.087109,False,0.03315644050699523
100,2,0.05,24,171,1,24,0.0056803226470947266,True,False,0.45244690674053545,0.45244690674053545,,2026-02-04T18:40:33.317111,True,0.0
100,2,0.05,25,142,1,25,0.005964756011962891,True,False,0.4411823050981948,0.4561594921642531,,2026-02-04T18:40:33.547378,False,0.014977187066058328
100,2,0.05,26,168,1,26,0.006014108657836914,True,False,0.4047441893424037,0.4384920634920635,,2026-02-04T18:40:33.779314,False,0.033747874149659796
100,2,0.05,27,168,1,27,0.005647182464599609,True,False,0.46173469387755106,0.46285076530612246,,2026-02-04T18:40:34.008539,False,0.0011160714285713969
100,2,0.05,28,170,1,28,0.006867885589599609,True,False,0.4491349480968857,0.4491349480968857,,2026-02-04T18:40:34.239714,True,0.0
100,2,0.05,29,156,1,29,0.006418943405151367,True,False,0.4723044049967127,0.4723044049967127,,2026-02-04T18:40:34.470526,True,0.0
100,2,0.05,30,155,1,30,0.006780147552490234,True,False,0.4398543184183142,0.44237252861602494,,2026-02-04T18:40:34.701676,False,0.0025182101977107574
100,2,0.05,31,140,1,31,0.006172895431518555,True,False,0.4214030612244898,0.456734693877551,,2026-02-04T18:40:34.930693,False,0.03533163265306122
100,2,0.05,32,146,1,32,0.0055811405181884766,True,False,0.4612497654344154,0.46500281478701433,,2026-02-04T18:40:35.157910,False,0.003753049352598903
100,2,0.05,33,155,1,33,0.006082057952880859,True,False,0.430780437044745,0.4631841831425598,,2026-02-04T18:40:35.387960,False,0.03240374609781482
100,2,0.05,34,165,1,34,0.005910158157348633,True,False,0.46361799816345267,0.46361799816345267,,2026-02-04T18:40:35.617144,True,0.0
100,2,0.05,35,154,1,35,0.005992889404296875,True,False,0.4061182324169338,0.433947545960533,,2026-02-04T18:40:35.846842,False,0.027829313543599188
100,2,0.05,36,153,1,36,0.00658106803894043,True,False,0.4476910589944039,0.4511726259131104,,2026-02-04T18:40:36.078307,False,0.0034815669187064913
100,2,0.05,37,165,1,37,0.0058901309967041016,True,False,0.42121212121212126,0.4417998163452708,,2026-02-04T18:40:36.308336,False,0.020587695133149564
100,2,0.05,38,152,1,38,0.005833148956298828,True,False,0.3931570290858725,0.4798303324099724,,2026-02-04T18:40:36.539594,False,0.08667330332409989
100,2,0.05,39,161,1,39,0.006006002426147461,True,False,0.40845260599513905,0.4875390609930173,,2026-02-04T18:40:36.773417,False,0.07908645499787825
100,2,0.05,40,151,1,40,0.006159782409667969,True,False,0.4535546686548836,0.47173369589053105,,2026-02-04T18:40:37.004461,False,0.01817902723564746
100,2,0.05,41,139,1,41,0.0056531429290771484,True,False,0.46092334765281306,0.46540034159722576,,2026-02-04T18:40:37.237613,False,0.004476993944412699
100,2,0.05,42,150,1,42,0.005995988845825195,True,False,0.4157999999999999,0.46486666666666654,,2026-02-04T18:40:37.470233,False,0.04906666666666665
100,2,0.05,43,161,1,43,0.006537914276123047,True,False,0.4018942170440956,0.45158365803788436,,2026-02-04T18:40:37.703142,False,0.04968944099378875
100,2,0.05,44,157,1,44,0.005819082260131836,True,False,0.4546026207959755,0.4574627773946205,,2026-02-04T18:40:37.934686,False,0.0028601565986449695
100,2,0.05,45,160,1,45,0.006265163421630859,True,False,0.40607421875,0.43341796875,,2026-02-04T18:40:38.161657,False,0.02734375
100,2,0.05,46,143,1,46,0.006381988525390625,True,False,0.36879554012421145,0.4654506332828011,,2026-02-04T18:40:38.397956,False,0.09665509315858967
100,2,0.05,47,154,1,47,0.0061740875244140625,True,False,0.47326699274751216,0.47326699274751216,,2026-02-04T18:40:38.628231,True,0.0
100,2,0.05,48,147,1,48,0.005624055862426758,True,False,0.4614512471655329,0.4614512471655329,,2026-02-04T18:40:38.857445,True,0.0
100,2,0.05,49,166,1,49,0.006021022796630859,True,False,0.4759036144578314,0.4759036144578314,,2026-02-04T18:40:39.088098,True,0.0
100,2,0.05,50,161,1,50,0.0055959224700927734,True,False,0.4130241888816018,0.42938158250067515,,2026-02-04T18:40:39.316904,False,0.016357393619073346
100,2,0.05,51,135,1,51,0.00643610954284668,True,False,0.44005486968449925,0.4441975308641975,,2026-02-04T18:40:39.547959,False,0.004142661179698248
100,2,0.05,52,164,1,52,0.00603795051574707,True,False,0.48079640095181436,0.48079640095181436,,2026-02-04T18:40:39.778531,True,0.0
100,2,0.05,53,150,1,53,0.005608797073364258,True,False,0.4479777777777777,0.4556444444444444,,2026-02-04T18:40:40.005759,False,0.0076666666666667105
100,2,0.05,54,150,1,54,0.005946159362792969,True,False,0.3466444444444444,0.4483333333333333,,2026-02-04T18:40:40.239954,False,0.10168888888888888
100,2,0.05,55,155,1,55,0.0063021183013916016,True,False,0.43768990634755456,0.4507596253902185,,2026-02-04T18:40:40.471737,False,0.013069719042663963
100,2,0.05,56,159,1,56,0.006736040115356445,True,False,0.44919109212452035,0.44919109212452035,,2026-02-04T18:40:40.704259,True,0.0
100,2,0.05,57,150,1,57,0.005593061447143555,True,False,0.45153333333333334,0.45864444444444435,,2026-02-04T18:40:40.935929,False,0.007111111111111013
100,2,0.05,58,151,1,58,0.006217241287231445,True,False,0.46383930529362744,0.46383930529362744,,2026-02-04T18:40:41.164376,True,0.0
100,2,0.05,59,156,1,59,0.005939006805419922,True,False,0.3910050953320184,0.4562787639710716,,2026-02-04T18:40:41.395300,False,0.0652736686390532
100,2,0.05,60,154,1,60,0.0063402652740478516,True,False,0.4169126328217238,0.4627888345420812,,2026-02-04T18:40:41.626026,False,0.04587620172035739
100,2,0.05,61,152,1,61,0.006390094757080078,True,False,0.35177891274238227,0.458362188365651,,2026-02-04T18:40:41.858232,False,0.10658327562326875
100,2,0.05,62,165,1,62,0.005627870559692383,True,False,0.4757392102846648,0.4757392102846648,,2026-02-04T18:40:42.089385,True,0.0
100,2,0.05,63,165,1,63,0.006289958953857422,True,False,0.410633608815427,0.4362901744719926,,2026-02-04T18:40:42.319925,False,0.0256565656565656
100,2,0.05,64,145,1,64,0.005851030349731445,True,False,0.41531510107015457,0.4744589774078478,,2026-02-04T18:40:42.553674,False,0.059143876337693246
100,2,0.05,65,141,1,65,0.005957841873168945,True,False,0.44482168904984654,0.45742165887027814,,2026-02-04T18:40:42.786241,False,0.0125999698204316
100,2,0.05,66,142,1,66,0.006134033203125,True,False,0.4647639357270383,0.47956754612180125,,2026-02-04T18:40:43.018060,False,0.014803610394762967
100,2,0.05,67,151,1,67,0.005843162536621094,True,False,0.4547826849699574,0.4565589228542608,,2026-02-04T18:40:43.251031,False,0.0017762378843034221
100,2,0.05,68,160,1,68,0.005603790283203125,True,False,0.44748046875,0.44999999999999996,,2026-02-04T18:40:43.478830,False,0.002519531249999929
100,2,0.05,69,138,1,69,0.006647825241088867,True,False,0.4473587481621508,0.45652173913043487,,2026-02-04T18:40:43.709910,False,0.009162990968284046
100,2,0.05,70,164,1,70,0.0057201385498046875,True,False,0.41463414634146345,0.45055026769779893,,2026-02-04T18:40:43.942158,False,0.035916121356335484
100,2,0.05,71,165,1,71,0.0056760311126708984,True,False,0.4316620752984389,0.46427915518824603,,2026-02-04T18:40:44.170661,False,0.03261707988980711
100,2,0.05,72,135,1,72,0.006743907928466797,True,False,0.43851851851851853,0.4657338820301783,,2026-02-04T18:40:44.402145,False,0.027215363511659763
100,2,0.05,73,157,1,73,0.006258964538574219,True,False,0.4597346748346789,0.4699582133149418,,2026-02-04T18:40:44.636904,False,0.010223538480262917
100,2,0.05,74,144,1,74,0.006367921829223633,True,False,0.45464409722222227,0.45823688271604945,,2026-02-04T18:40:44.869548,False,0.0035927854938271886
100,2,0.05,75,159,1,75,0.006138801574707031,True,False,0.412167240219928,0.44729243305249,,2026-02-04T18:40:45.100670,False,0.03512519283256199
100,2,0.05,76,160,1,76,0.005818843841552734,True,False,0.402421875,0.45654296875,,2026-02-04T18:40:45.332999,False,0.054121093750000016
100,2,0.05,77,150,1,77,0.00612187385559082,True,False,0.47191111111111106,0.47191111111111106,,2026-02-04T18:40:45.563105,True,0.0
100,2,0.05,78,152,1,78,0.005870819091796875,True,False,0.4473684210526315,0.45392572714681434,,2026-02-04T18:40:45.794961,False,0.006557306094182813
100,2,0.05,79,153,1,79,0.005676984786987305,True,False,0.4411764705882353,0.4702464863941219,,2026-02-04T18:40:46.024211,False,0.02907001580588664
100,2,0.05,80,166,1,80,0.006067037582397461,True,False,0.4354768471476268,0.45011975613296573,,2026-02-04T18:40:46.254760,False,0.014642908985338932
100,2,0.05,81,154,1,81,0.0055620670318603516,True,False,0.402576319784112,0.4433926463147243,,2026-02-04T18:40:46.484208,False,0.04081632653061229
100,2,0.05,82,158,1,82,0.005606174468994141,True,False,0.46817417080596063,0.46817417080596063,,2026-02-04T18:40:46.713382,True,0.0
100,2,0.05,83,153,1,83,0.006012916564941406,True,False,0.43118031526336026,0.44544833183818194,,2026-02-04T18:40:46.947435,False,0.014268016574821685
100,2,0.05,84,151,1,84,0.006511211395263672,True,False,0.38741721854304634,0.44101135915091433,,2026-02-04T18:40:47.177927,False,0.05359414060786799
100,2,0.05,85,151,1,85,0.006240129470825195,True,False,0.45171264418227264,0.4603964738388667,,2026-02-04T18:40:47.408626,False,0.008683829656594089
100,2,0.05,86,150,1,86,0.005877017974853516,True,False,0.45999999999999996,0.4733333333333334,,2026-02-04T18:40:47.638764,False,0.01333333333333342
100,2,0.05,87,155,1,87,0.005952119827270508,True,False,0.4357960457856399,0.4596045785639957,,2026-02-04T18:40:47.869523,False,0.023808532778355818
100,2,0.05,88,160,1,88,0.006056070327758789,True,False,0.4,0.44218749999999996,,2026-02-04T18:40:48.100377,False,0.04218749999999993
100,2,0.05,89,151,1,89,0.005387067794799805,True,False,0.46258936011578444,0.46258936011578444,,2026-02-04T18:40:48.331888,True,0.0
100,2,0.05,90,168,1,90,0.006777286529541016,True,False,0.4345060941043084,0.45060941043083896,,2026-02-04T18:40:48.560459,False,0.01610331632653056
100,2,0.05,91,155,1,91,0.04347515106201172,True,False,0.4741727367325702,0.4741727367325702,,2026-02-04T18:40:48.830329,True,0.0
100,2,0.05,92,157,1,92,0.006889820098876953,True,False,0.4655766968234006,0.4655766968234006,,2026-02-04T18:40:49.085476,True,0.0
100,2,0.05,93,153,1,93,0.006928920745849609,True,False,0.41657054978854297,0.4500619419881243,,2026-02-04T18:40:49.367608,False,0.03349139219958136
100,2,0.05,94,141,1,94,0.006317138671875,True,False,0.4288516674211559,0.44391630199688137,,2026-02-04T18:40:49.622473,False,0.015064634575725488
100,2,0.05,95,162,1,95,0.00681304931640625,True,False,0.4691167504953513,0.4814624295076969,,2026-02-04T18:40:49.876103,False,0.012345679012345623
100,2,0.05,96,161,1,96,0.00656890869140625,True,False,0.3990586782917326,0.47513599012383784,,2026-02-04T18:40:50.220152,False,0.07607731183210525
100,2,0.05,97,157,1,97,0.006793022155761719,True,False,0.3407643312101912,0.4346423790011765,,2026-02-04T18:40:50.481065,False,0.09387804779098535
100,2,0.05,98,147,1,98,0.00692296028137207,True,False,0.4558980054606877,0.4558980054606877,,2026-02-04T18:40:50.727090,True,0.0
100,2,0.05,99,152,1,99,0.006685972213745117,True,False,0.4736842105263158,0.4736842105263158,,2026-02-04T18:40:50.970466,True,0.0
100,2,0.05,0,149,2,0,0.006292104721069336,True,False,0.3950272510247287,0.4326832124679068,,2026-02-04T18:40:51.218258,False,0.03765596144317812
100,2,0.05,1,152,2,1,0.006071805953979492,True,False,0.4078947368421053,0.4374783587257618,,2026-02-04T18:40:51.475482,False,0.029583621883656486
