n,k,graph_seed,num_edges,iterations,run,time,success,timed_out,modularity,optimal_modularity,error,timestamp,found_optimal,gap
100,2,0,264,1,0,0.008023738861083984,True,False,0.39582615932047754,0.39582615932047754,,2026-02-02T20:32:00.312587,True,0.0
100,2,1,309,1,1,0.006110191345214844,True,False,0.27692944145955734,0.42146081419339965,,2026-02-02T20:32:00.520902,False,0.1445313727338423
100,2,2,284,1,2,0.006510734558105469,True,False,0.4088908450704225,0.4088908450704225,,2026-02-02T20:32:00.728427,True,0.0
100,2,3,312,1,3,0.00574183464050293,True,False,0.3621743507560815,0.3790064102564103,,2026-02-02T20:32:00.931954,False,0.01683205950032879
100,2,4,261,1,4,0.006431102752685547,True,False,0.3725649946418872,0.437566976409624,,2026-02-02T20:32:01.141414,False,0.0650019817677368
100,2,5,253,1,5,0.005875825881958008,True,False,0.38638316486744056,0.4169023106125701,,2026-02-02T20:32:01.347756,False,0.03051914574512954
100,2,6,267,1,6,0.0059909820556640625,True,False,0.41321943076772016,0.4187111616097855,,2026-02-02T20:32:01.554590,False,0.005491730842065334
100,2,7,271,1,7,0.005994081497192383,True,False,0.396855979629907,0.41049958470064407,,2026-02-02T20:32:01.762689,False,0.013643605070737086
100,2,8,287,1,8,0.005939960479736328,True,False,0.3675897485704573,0.42680498731318817,,2026-02-02T20:32:01.967898,False,0.05921523874273088
100,2,9,301,1,9,0.005939960479736328,True,False,0.33113872915309983,0.40630898113707353,,2026-02-02T20:32:02.172472,False,0.0751702519839737
100,2,10,249,1,10,0.005815982818603516,True,False,0.3925743133175271,0.41795293624296387,,2026-02-02T20:32:02.381202,False,0.025378622925436745
100,2,11,296,1,11,0.007149934768676758,True,False,0.42356989590942296,0.42356989590942296,,2026-02-02T20:32:02.591510,True,0.0
100,2,12,303,1,12,0.005810976028442383,True,False,0.38342101536886364,0.4009192998507771,,2026-02-02T20:32:02.795507,False,0.017498284481913484
100,2,13,278,1,13,0.005757808685302734,True,False,0.3903783448061695,0.3989441540292946,,2026-02-02T20:32:03.001058,False,0.00856580922312511
100,2,14,279,1,14,0.006338834762573242,True,False,0.34402821135391376,0.43516912680977893,,2026-02-02T20:32:03.206994,False,0.09114091545586517
100,2,15,326,1,15,0.005639076232910156,True,False,0.31630377507621665,0.39090199104219214,,2026-02-02T20:32:03.412535,False,0.07459821596597549
100,2,16,294,1,16,0.00591588020324707,True,False,0.3942280994030265,0.4017538988384469,,2026-02-02T20:32:03.617393,False,0.007525799435420422
100,2,17,280,1,17,0.0061528682708740234,True,False,0.39484056122448985,0.4056122448979591,,2026-02-02T20:32:03.825230,False,0.010771683673469257
100,2,18,277,1,18,0.005597829818725586,True,False,0.407557768249293,0.407557768249293,,2026-02-02T20:32:04.031396,True,0.0
100,2,19,244,1,19,0.005947113037109375,True,False,0.4221227492609514,0.43036146197258807,,2026-02-02T20:32:04.235227,False,0.008238712711636675
100,2,0,264,2,0,0.005890846252441406,True,False,0.39582615932047754,0.39582615932047754,,2026-02-02T20:32:04.440603,True,0.0
100,2,1,309,2,1,0.0057599544525146484,True,False,0.41467936029157626,0.42146081419339965,,2026-02-02T20:32:04.654146,False,0.006781453901823387
