n,actual_n,k,seed,num_edges,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,xi,timestamp
20,20,2,21,25,bnb_c,0.022670984268188477,True,False,0.3672,True,,abcd,0.1,2026-03-03T02:42:25.677487
20,20,2,22,25,gurobi,0.016537904739379883,True,False,0.41919999999999985,True,,abcd,0.1,2026-03-03T02:42:25.826028
20,20,2,22,25,bnb_c,0.019482851028442383,True,False,0.4192,True,,abcd,0.1,2026-03-03T02:42:25.958674
20,20,2,23,24,gurobi,0.022680997848510742,True,False,0.3741319444444446,True,,abcd,0.1,2026-03-03T02:42:26.108175
20,20,2,23,24,bnb_c,0.02137899398803711,True,False,0.374131944444445,True,,abcd,0.1,2026-03-03T02:42:26.243245
20,20,2,24,24,gurobi,0.026051044464111328,True,False,0.3741319444444446,True,,abcd,0.1,2026-03-03T02:42:26.395118
20,20,2,24,24,bnb_c,0.021209716796875,True,False,0.374131944444445,True,,abcd,0.1,2026-03-03T02:42:26.531224
20,17,2,25,21,gurobi,0.013899087905883789,True,False,0.3764172335600903,True,,abcd,0.1,2026-03-03T02:42:26.649746
20,17,2,25,21,bnb_c,0.020947933197021484,True,False,0.376417233560091,True,,abcd,0.1,2026-03-03T02:42:26.767920
20,20,2,26,24,gurobi,0.01769399642944336,True,False,0.41666666666666663,True,,abcd,0.1,2026-03-03T02:42:26.963953
20,20,2,26,24,bnb_c,0.021657943725585938,True,False,0.416666666666667,True,,abcd,0.1,2026-03-03T02:42:27.099646
20,11,2,27,12,gurobi,0.009842157363891602,True,False,0.33333333333333326,True,,abcd,0.1,2026-03-03T02:42:27.218081
20,11,2,27,12,bnb_c,0.013349294662475586,True,False,0.333333333333333,True,,abcd,0.1,2026-03-03T02:42:27.327508
20,20,2,28,24,gurobi,0.017442941665649414,True,False,0.4166666666666671,True,,abcd,0.1,2026-03-03T02:42:27.477895
20,20,2,28,24,bnb_c,0.022385120391845703,True,False,0.416666666666667,True,,abcd,0.1,2026-03-03T02:42:27.617739
20,20,2,29,24,gurobi,0.0175628662109375,True,False,0.4574652777777776,True,,abcd,0.1,2026-03-03T02:42:27.770552
